timestamp,joint1,joint2,joint3,joint4,joint5,joint6,joint7
1.730000,2.850574,0.184486,-2.861733,-2.120515,-0.008533,1.708381,0.679172
1.740000,2.850572,0.184486,-2.861735,-2.120514,-0.008533,1.708380,0.679173
1.750000,2.850576,0.184488,-2.861738,-2.120517,-0.008532,1.708384,0.679172
1.760000,2.850574,0.184490,-2.861733,-2.120510,-0.008532,1.708379,0.679172
1.770000,2.850573,0.184488,-2.861735,-2.120517,-0.008532,1.708381,0.679175
1.780000,2.850570,0.184486,-2.861735,-2.120513,-0.008532,1.708379,0.679177
1.790000,2.850570,0.184486,-2.861731,-2.120517,-0.008531,1.708383,0.679177
1.800000,2.850574,0.184488,-2.861735,-2.120521,-0.008532,1.708381,0.679174
1.810000,2.850573,0.184486,-2.861735,-2.120521,-0.008532,1.708379,0.679177
1.820000,2.850573,0.184488,-2.861735,-2.120512,-0.008532,1.708380,0.679172
1.830000,2.850577,0.184486,-2.861733,-2.120516,-0.008532,1.708379,0.679172
1.840000,2.850575,0.184486,-2.861735,-2.120519,-0.008533,1.708378,0.679172
1.850000,2.850572,0.184488,-2.861733,-2.120518,-0.008532,1.708381,0.679177
1.860000,2.850572,0.184488,-2.861735,-2.120519,-0.008533,1.708380,0.679172
1.870000,2.850574,0.184487,-2.861733,-2.120518,-0.008533,1.708377,0.679171
1.880000,2.850574,0.184486,-2.861737,-2.120516,-0.008532,1.708378,0.679173
1.890000,2.850577,0.184488,-2.861735,-2.120514,-0.008532,1.708382,0.679172
1.900000,2.850572,0.184490,-2.861735,-2.120516,-0.008532,1.708378,0.679171
1.910000,2.850575,0.184491,-2.861733,-2.120519,-0.008532,1.708378,0.679177
1.920000,2.850576,0.184488,-2.861735,-2.120514,-0.008533,1.708383,0.679175
1.930000,2.850576,0.184488,-2.861737,-2.120516,-0.008532,1.708378,0.679173
1.940000,2.850573,0.184487,-2.861733,-2.120519,-0.008532,1.708378,0.679174
1.950000,2.850574,0.184488,-2.861735,-2.120518,-0.008532,1.708379,0.679174
1.960000,2.850575,0.184489,-2.861733,-2.120516,-0.008532,1.708379,0.679170
1.970000,2.850575,0.184490,-2.861737,-2.120517,-0.008531,1.708381,0.679171
1.980000,2.850574,0.184491,-2.861737,-2.120519,-0.008532,1.708380,0.679177
1.990000,2.850575,0.184490,-2.861737,-2.120516,-0.008532,1.708381,0.679174
2.000000,2.850577,0.184488,-2.861740,-2.120519,-0.008532,1.708380,0.679174
2.010000,2.850573,0.184487,-2.861733,-2.120519,-0.008532,1.708381,0.679174
2.020000,2.850574,0.184488,-2.861733,-2.120516,-0.008533,1.708379,0.679170
2.030000,2.850577,0.184487,-2.861735,-2.120512,-0.008532,1.708380,0.679172
2.040000,2.850573,0.184487,-2.861735,-2.120518,-0.008533,1.708377,0.679172
2.050000,2.850573,0.184490,-2.861737,-2.120516,-0.008532,1.708380,0.679172
2.060000,2.850573,0.184489,-2.861737,-2.120516,-0.008533,1.708382,0.679170
2.070000,2.850573,0.184491,-2.861735,-2.120519,-0.008532,1.708381,0.679172
2.080000,2.850576,0.184490,-2.861735,-2.120521,-0.008532,1.708379,0.679179
2.090000,2.850577,0.184487,-2.861733,-2.120514,-0.008532,1.708381,0.679176
2.100000,2.850575,0.184490,-2.861733,-2.120519,-0.008533,1.708380,0.679170
2.110000,2.850577,0.184488,-2.861737,-2.120516,-0.008531,1.708379,0.679175
2.120000,2.850577,0.184487,-2.861739,-2.120514,-0.008533,1.708379,0.679174
2.130000,2.850575,0.184485,-2.861738,-2.120516,-0.008533,1.708382,0.679173
2.140000,2.850574,0.184485,-2.861739,-2.120516,-0.008531,1.708381,0.679169
2.150000,2.850575,0.184485,-2.861735,-2.120514,-0.008533,1.708379,0.679176
2.160000,2.850577,0.184489,-2.861737,-2.120516,-0.008532,1.708380,0.679175
2.170000,2.850575,0.184486,-2.861733,-2.120519,-0.008532,1.708378,0.679175
2.180000,2.850577,0.184488,-2.861737,-2.120518,-0.008532,1.708379,0.679173
2.190000,2.850577,0.184488,-2.861735,-2.120518,-0.008532,1.708379,0.679172
2.200000,2.850579,0.184484,-2.861734,-2.120518,-0.008532,1.708380,0.679172
2.210000,2.850575,0.184484,-2.861735,-2.120518,-0.008533,1.708378,0.679172
2.220000,2.850574,0.184488,-2.861735,-2.120514,-0.008532,1.708381,0.679172
2.230000,2.850577,0.184486,-2.861735,-2.120518,-0.008532,1.708382,0.679177
2.240000,2.850575,0.184492,-2.861737,-2.120519,-0.008532,1.708382,0.679171
2.250000,2.850575,0.184485,-2.861735,-2.120518,-0.008532,1.708379,0.679174
2.260000,2.850577,0.184484,-2.861734,-2.120514,-0.008532,1.708380,0.679173
2.270000,2.850574,0.184484,-2.861735,-2.120518,-0.008532,1.708383,0.679170
2.280000,2.850575,0.184486,-2.861735,-2.120516,-0.008531,1.708380,0.679174
2.290000,2.850575,0.184485,-2.861735,-2.120520,-0.008532,1.708380,0.679175
2.300000,2.850575,0.184488,-2.861735,-2.120515,-0.008531,1.708378,0.679173
2.310000,2.850575,0.184487,-2.861733,-2.120516,-0.008532,1.708378,0.679169
2.320000,2.850577,0.184489,-2.861733,-2.120512,-0.008532,1.708382,0.679177
2.330000,2.850577,0.184488,-2.861735,-2.120519,-0.008532,1.708380,0.679167
2.340000,2.850574,0.184488,-2.861733,-2.120518,-0.008532,1.708381,0.679169
2.350000,2.850576,0.184488,-2.861735,-2.120514,-0.008532,1.708381,0.679174
2.360000,2.850577,0.184487,-2.861735,-2.120519,-0.008532,1.708383,0.679169
2.370000,2.850576,0.184488,-2.861735,-2.120522,-0.008532,1.708378,0.679171
2.380000,2.850576,0.184488,-2.861737,-2.120516,-0.008532,1.708381,0.679173
2.390000,2.850580,0.184488,-2.861731,-2.120516,-0.008532,1.708382,0.679171
2.400000,2.850578,0.184485,-2.861735,-2.120518,-0.008533,1.708380,0.679167
2.410000,2.850576,0.184490,-2.861737,-2.120518,-0.008532,1.708382,0.679173
2.420000,2.850580,0.184485,-2.861735,-2.120516,-0.008532,1.708380,0.679175
2.430000,2.850577,0.184488,-2.861733,-2.120519,-0.008533,1.708378,0.679171
2.440000,2.850576,0.184488,-2.861735,-2.120516,-0.008532,1.708378,0.679166
2.450000,2.850578,0.184485,-2.861735,-2.120519,-0.008533,1.708379,0.679176
2.460000,2.850576,0.184484,-2.861735,-2.120516,-0.008532,1.708379,0.679173
2.470000,2.850577,0.184488,-2.861735,-2.120520,-0.008533,1.708379,0.679173
2.480000,2.850574,0.184485,-2.861733,-2.120518,-0.008532,1.708381,0.679169
2.490000,2.850576,0.184485,-2.861735,-2.120518,-0.008531,1.708380,0.679174
2.500000,2.850579,0.184484,-2.861735,-2.120516,-0.008531,1.708379,0.679173
2.510000,2.850577,0.184487,-2.861738,-2.120519,-0.008533,1.708378,0.679176
2.520000,2.850576,0.184488,-2.861731,-2.120518,-0.008532,1.708380,0.679167
2.530000,2.850577,0.184487,-2.861735,-2.120517,-0.008532,1.708378,0.679174
2.540000,2.850576,0.184493,-2.861737,-2.120522,-0.008532,1.708378,0.679172
2.550000,2.850580,0.184488,-2.861735,-2.120518,-0.008532,1.708378,0.679167
2.560000,2.850580,0.184488,-2.861733,-2.120517,-0.008532,1.708378,0.679171
2.570000,2.850578,0.184490,-2.861737,-2.120521,-0.008532,1.708379,0.679174
2.580000,2.850575,0.184490,-2.861735,-2.120516,-0.008532,1.708382,0.679176
2.590000,2.850572,0.184484,-2.861735,-2.120514,-0.008531,1.708379,0.679168
2.600000,2.850581,0.184488,-2.861733,-2.120523,-0.008532,1.708376,0.679173
2.610000,2.850578,0.184485,-2.861733,-2.120515,-0.008532,1.708379,0.679173
2.620000,2.850578,0.184486,-2.861731,-2.120516,-0.008532,1.708379,0.679170
